"region","tons","product","year","species"
"V","0","oil",2014,"JUREL"
"V","0","oil",2014,"JUREL"
"V","0","oil",2014,"MACHUELO O TRITRE"
"V","7","oil",2014,"MACHUELO O TRITRE"
"V","0","oil",2014,"MERLUZA DE COLA"
"V","0","oil",2014,"MERLUZA DE COLA"
"V","0","oil",2014,"PAMPANITO"
"V","0","oil",2014,"PAMPANITO"
"V","0","oil",2014,"PEJERREY DE MAR"
"V","0","oil",2014,"PEJERREY DE MAR"
"V","0","oil",2014,"PESCADO NO CLASIFICADO"
"V","0","oil",2014,"PESCADO NO CLASIFICADO"
"V","0","oil",2014,"REINETA"
"V","0","oil",2014,"REINETA"
"V","0","oil",2014,"SARDINA AUSTRAL"
"V","0","oil",2014,"SARDINA AUSTRAL"
"V","0","oil",2014,"SARDINA COMUN"
"V","527","oil",2014,"SARDINA COMUN"
"V","0","oil",2014,"CALAMAR"
"V","0","oil",2014,"CALAMAR"
"V","0","oil",2014,"JIBIA O CALAMAR ROJO"
"V","0","oil",2014,"JIBIA O CALAMAR ROJO"
"V","0","oil",2014,"LANGOSTINO COLORADO"
"V","0","oil",2014,"LANGOSTINO COLORADO"
"V","0","oil",2014,"LANGOSTINO ENANO"
"V","0","oil",2014,"LANGOSTINO ENANO"
"VI","0","oil",2014,"AGUJILLA"
"VI","0","oil",2014,"AGUJILLA"
"VI","0","oil",2014,"ANCHOVETA"
"VI","0","oil",2014,"ANCHOVETA"
"VI","0","oil",2014,"BACALADILLO O MOTE"
