"species","region","tons","product","year"
"ATUN OJOS GRANDES","IX",0,"fresh",2013
"AZULEJO","IX",0,"fresh",2013
"BACALAO DE PROFUNDIDAD","IX",0,"fresh",2013
"BESUGO","IX",0,"fresh",2013
"CABALLA","IX",0,"fresh",2013
"CONGRIO COLORADO","IX",0,"fresh",2013
"CONGRIO DORADO","IX",0,"fresh",2013
"CONGRIO NEGRO","IX",0,"fresh",2013
"CORVINA","IX",0,"fresh",2013
"JUREL","IX",0,"fresh",2013
"MERLUZA COMUN","IX",0,"fresh",2013
"MERLUZA DE COLA","IX",0,"fresh",2013
"MERLUZA DEL SUR O AUSTRAL","IX",0,"fresh",2013
"PEJEGALLO","IX",0,"fresh",2013
"PEJERREY DE MAR","IX",0,"fresh",2013
"RAYA VOLANTIN","IX",0,"fresh",2013
"REINETA","IX",0,"fresh",2013
"ROBALO","IX",0,"fresh",2013
"SALMON DEL ATLANTICO","IX",0,"fresh",2013
"SALMON PLATEADO","IX",0,"fresh",2013
"SALMON REY","IX",0,"fresh",2013
"SARDINA COMUN","IX",0,"fresh",2013
"SIERRA","IX",0,"fresh",2013
"TIBURON O MARRAJO","IX",0,"fresh",2013
"TOLLO","IX",0,"fresh",2013
"TRUCHA ARCO IRIS","IX",0,"fresh",2013
"TURBOT","IX",0,"fresh",2013
"ABALON JAPONES","IX",0,"fresh",2013
"ABALON ROJO","IX",0,"fresh",2013
"ALMEJA","IX",0,"fresh",2013
"CARACOL LOCATE","IX",0,"fresh",2013
"CARACOL PALO PALO","IX",0,"fresh",2013
"CHOLGA","IX",0,"fresh",2013
"CHORITO","IX",0,"fresh",2013
"CHORO","IX",0,"fresh",2013
"CULENGUE","IX",0,"fresh",2013
"HUEPO O NAVAJA DE MAR","IX",0,"fresh",2013
"JIBIA O CALAMAR ROJO","IX",0,"fresh",2013
"LAPA NEGRA","IX",0,"fresh",2013
"LOCO","IX",0,"fresh",2013
"MACHA","IX",0,"fresh",2013
"NAVAJUELA","IX",0,"fresh",2013
"OSTION DEL NORTE","IX",0,"fresh",2013
"OSTION DEL SUR","IX",0,"fresh",2013
"PULPO","IX",0,"fresh",2013
"PULPO DEL SUR","IX",0,"fresh",2013
"TAQUILLA","IX",0,"fresh",2013
"TUMBAO","IX",0,"fresh",2013
"CAMARON NAILON","IX",0,"fresh",2013
"CENTOLLA","IX",0,"fresh",2013
"JAIBA MARMOLA","IX",0,"fresh",2013
"JAIBA PELUDA O PACHONA","IX",0,"fresh",2013
"ERIZO","IX",0,"fresh",2013
"PIURE","IX",0,"fresh",2013
"COCHAYUYO","XIV",22,"fresh",2013
"ALBACORA O PEZ ESPADA","XIV",0,"fresh",2013
"ATUN OJOS GRANDES","XIV",0,"fresh",2013
"AZULEJO","XIV",0,"fresh",2013
"BACALAO DE PROFUNDIDAD","XIV",0,"fresh",2013
"BESUGO","XIV",0,"fresh",2013
"CABALLA","XIV",0,"fresh",2013
"CONGRIO COLORADO","XIV",0,"fresh",2013
"CONGRIO DORADO","XIV",0,"fresh",2013
"CONGRIO NEGRO","XIV",0,"fresh",2013
"CORVINA","XIV",0,"fresh",2013
"JUREL","XIV",0,"fresh",2013
"MERLUZA COMUN","XIV",0,"fresh",2013
"MERLUZA DE COLA","XIV",0,"fresh",2013
"MERLUZA DEL SUR O AUSTRAL","XIV",0,"fresh",2013
"PEJEGALLO","XIV",0,"fresh",2013
"PEJERREY DE MAR","XIV",0,"fresh",2013
"RAYA VOLANTIN","XIV",0,"fresh",2013
"REINETA","XIV",0,"fresh",2013
"ROBALO","XIV",0,"fresh",2013
"SALMON DEL ATLANTICO","XIV",0,"fresh",2013
"SALMON PLATEADO","XIV",0,"fresh",2013
"SALMON REY","XIV",0,"fresh",2013
"SARDINA COMUN","XIV",0,"fresh",2013
"SIERRA","XIV",0,"fresh",2013
"TIBURON O MARRAJO","XIV",0,"fresh",2013
"TOLLO","XIV",0,"fresh",2013
"TRUCHA ARCO IRIS","XIV",315,"fresh",2013
"TURBOT","XIV",0,"fresh",2013
