"year","region","especie_SERNAPESCA","nombre_cientifico_SERNAPESCA","tons"
2014,0,"JAIBA","Cancer spp.",0.1212
2014,0,"JAIBA LIMON","Cancer porteri",0.1212
2014,0,"JAIBA MARMOLA","Cancer edwardsi",0.1212
2014,0,"JAIBA MORA","Homalaspis plana",0.1212
2014,0,"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus",0.1212
2014,0,"JAIBA PELUDA O PACHONA","Cancer setosus",0.1212
2014,0,"JAIBA REINA","Cancer coronatus",0.1212
2014,0,"JAIBA REMADORA","Ovalipes trimaculatus",0.1212
2014,0,"JUREL","Trachurus murphyi",0.12692
2014,0,"LANGOSTINO COLORADO","Pleuroncodes monodon",0.04681
2014,0,"LOCO","Concholepas concholepas",0.03329
2014,0,"MERLUZA COMUN","Merluccius gayi gayi",0.04811
2014,0,"MERLUZA DE COLA","Macruronus magellanicus",0.0335
2014,0,"MERLUZA DEL ATLANTICO","Merluccius hubbsi",0.0335
2014,0,"MERLUZA DEL SUR O AUSTRAL","Merluccius australis",0.2215
2014,0,"NAVAJUELA","Tagelus dombeii",0.007
2014,0,"PEPINO DE MAR","Athyonidium chilensis",0.105
2014,0,"SALMON REY","Oncorhynchus tshawytscha",0.15027
2014,0,"TRUCHA ARCOIRIS","Oncorhynchus mykiss",0.45319
2014,1,"ALGAS MIXTAS",NA,56.04
2014,1,"CAROLA","Callophyllis variegata",56.04
2014,1,"CHASCON O HUIRO NEGRO","Lessonia nigrescens",8261.1214
