"species","region","tons","product","year"
"SARDINA COMUN","VIII",0,"oil",2016
"SARDINA ESPANOLA","VIII",0,"oil",2016
"JIBIA O CALAMAR ROJO","VIII",0,"oil",2016
"AGUJILLA","XIV",0,"oil",2016
"ANCHOVETA","XIV",0,"oil",2016
"BACALADILLO O MOTE","XIV",0,"oil",2016
"CABALLA","XIV",0,"oil",2016
"JUREL","XIV",0,"oil",2016
"MACHUELO O TRITRE","XIV",0,"oil",2016
"MERLUZA COMUN","XIV",0,"oil",2016
"PAMPANITO","XIV",0,"oil",2016
"SARDINA AUSTRAL","XIV",0,"oil",2016
"SARDINA COMUN","XIV",0,"oil",2016
"SARDINA ESPANOLA","XIV",0,"oil",2016
"JIBIA O CALAMAR ROJO","XIV",0,"oil",2016
"AGUJILLA","X",0,"oil",2016
"ANCHOVETA","X",0,"oil",2016
"BACALADILLO O MOTE","X",0,"oil",2016
"CABALLA","X",0,"oil",2016
"JUREL","X",0,"oil",2016
"MACHUELO O TRITRE","X",0,"oil",2016
"MERLUZA COMUN","X",0,"oil",2016
"PAMPANITO","X",0,"oil",2016
"SARDINA AUSTRAL","X",0,"oil",2016
"SARDINA COMUN","X",0,"oil",2016
"SARDINA ESPANOLA","X",0,"oil",2016
"JIBIA O CALAMAR ROJO","X",0,"oil",2016
"AGUJILLA","XI",0,"oil",2016
"ANCHOVETA","XI",0,"oil",2016
"BACALADILLO O MOTE","XI",0,"oil",2016
"CABALLA","XI",0,"oil",2016
"JUREL","XI",0,"oil",2016
"MACHUELO O TRITRE","XI",0,"oil",2016
"MERLUZA COMUN","XI",0,"oil",2016
"PAMPANITO","XI",0,"oil",2016
"SARDINA AUSTRAL","XI",0,"oil",2016
"SARDINA COMUN","XI",0,"oil",2016
"SARDINA ESPANOLA","XI",0,"oil",2016
"JIBIA O CALAMAR ROJO","XI",0,"oil",2016
"AGUJILLA","XII",0,"oil",2016
"ANCHOVETA","XII",0,"oil",2016
"BACALADILLO O MOTE","XII",0,"oil",2016
"CABALLA","XII",0,"oil",2016
"JUREL","XII",0,"oil",2016
"MACHUELO O TRITRE","XII",0,"oil",2016
"MERLUZA COMUN","XII",0,"oil",2016
"PAMPANITO","XII",0,"oil",2016
"SARDINA AUSTRAL","XII",0,"oil",2016
"SARDINA COMUN","XII",0,"oil",2016
"SARDINA ESPANOLA","XII",0,"oil",2016
"JIBIA O CALAMAR ROJO","XII",0,"oil",2016
"AGUJILLA","RM",0,"oil",2016
"ANCHOVETA","RM",0,"oil",2016
