"year","region","sc_name","total_NHC"
2015,"I","Loligo gahi",0
2015,"I","Macruronus magellanicus",0
2015,"I","Merluccius australis",0
2015,"I","Normanichthys crockeri",1
2015,"I","Odontesthes regia",2
2015,"I","Paralabrax humeralis",0
2015,"I","Pleuroncodes sp",527
2015,"I","Sardinops sagax",0
2015,"I","Sciaena deliciosa",0
2015,"I","Scomber japonicus",5699
2015,"I","Scomberesox saurus scombroides",2242
2015,"I","Sprattus fuegensis",0
2015,"I","Strangomera bentincki",0
2015,"I","Stromateus stellatus",0
2015,"I","Trachurus murphyi",18459
2015,"II","Dosidicus gigas",48
2015,"II","Engraulis ringens",71157
2015,"II","Ethmidium maculatum",0
2015,"II","Isacia conceptionis",1
2015,"II","Loligo gahi",0
2015,"II","Macruronus magellanicus",0
2015,"II","Merluccius australis",0
2015,"II","Normanichthys crockeri",0
2015,"II","Odontesthes regia",0
2015,"II","Paralabrax humeralis",0
2015,"II","Pleuroncodes sp",67
2015,"II","Sardinops sagax",283
2015,"II","Sciaena deliciosa",0
2015,"II","Scomber japonicus",2965
2015,"II","Scomberesox saurus scombroides",1068
2015,"II","Sprattus fuegensis",0
2015,"II","Strangomera bentincki",0
2015,"II","Stromateus stellatus",0
2015,"II","Trachurus murphyi",15335
2015,"III","Dosidicus gigas",0
2015,"III","Engraulis ringens",10188
2015,"III","Ethmidium maculatum",0
2015,"III","Isacia conceptionis",0
2015,"III","Loligo gahi",0
2015,"III","Macruronus magellanicus",0
2015,"III","Merluccius australis",0
2015,"III","Normanichthys crockeri",0
2015,"III","Odontesthes regia",0
2015,"III","Paralabrax humeralis",0
2015,"III","Pleuroncodes sp",0
2015,"III","Sardinops sagax",2
2015,"III","Sciaena deliciosa",0
2015,"III","Scomber japonicus",21352
2015,"III","Scomberesox saurus scombroides",0
2015,"III","Sprattus fuegensis",0
2015,"III","Strangomera bentincki",0
2015,"III","Stromateus stellatus",0
2015,"III","Trachurus murphyi",14819
