PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AÑO,MES,REGIÓN,Código Caleta,Nom_caleta,Código especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,,,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,,,
2009,2,II,60,MEJILLONES,450,Lapa,"500,000",,0.01,B,BN,CHD,,,
2009,2,II,56,TALTAL,145,Huiro ,"130,000",No disponible,2.00,O,BN,PP,,,
2009,2,II,56,TALTAL,227,Congrio colorado,"1,800,000",,0.04,B,BN,CHD,,,
2009,2,II,56,TALTAL,145,Huiro ,"130,000",No disponible,3.00,O,BN,PP,,,
2009,2,III,78,HUASCO,227,Congrio colorado,"2,000,000",,0.12,B,BN,CHD,,,
2009,2,III,78,HUASCO,230,Corvina,"1,000,000",,0.01,B,BN,CHD,,,
2009,2,III,78,HUASCO,273,Rollizo,"1,000,000",,0.01,B,BN,CHD,,,
2009,2,III,78,HUASCO,226,Cojiboba del norte ,"1,000,000",,0.31,B,BN,CHD,,,
2009,2,III,78,HUASCO,227,Congrio colorado,"2,000,000",,0.17,B,BN,CHD,,,
2009,2,III,78,HUASCO,230,Corvina,"1,000,000",,0.07,B,BN,CHD,,,
2009,2,III,78,HUASCO,220,Cabrilla,"1,000,000",,0.02,B,BN,CHD,,,
2009,2,III,78,HUASCO,226,Cojiboba del norte ,"1,000,000",,0.86,B,BN,CHD,,,
2009,2,III,78,HUASCO,236,Lenguado,"2,700,000",,0.01,B,BN,CHD,,,
2009,2,III,78,HUASCO,231,Dorado de altura,"1,700,000",,0.01,B,BN,CHD,,,
