PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,
2010,,,,,,,,,,,,,
,,,,,,,,,,,,,
AÑO,MES,REGIÓN,CALETA,Nom_caleta,ESPECIE,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,
2010,1,XV,4,ARICA,450,Lapa,"700,000",,0.050,B,BN,CHD,
2010,1,XV,4,ARICA,221,Cabrilla común,"1,700,000",,0.010,B,BN,CHD,
2010,1,XV,4,ARICA,272,Roncacho,"1,000,000",,0.020,B,BN,CHD,
2010,1,XV,4,ARICA,425,Cholga,"750,000",,0.300,B,BN,CHD,
2010,1,XV,4,ARICA,820,Piure,"1,500,000",,0.300,B,BN,CHD,
2010,1,XV,4,ARICA,284,Tiburón o marrajo,"1,800,000",,1.900,B,BN,CHD,
2010,1,XV,4,ARICA,254,Palometa,"2,500,000",,2.300,B,BN,CHD,
2010,1,XV,4,ARICA,450,Lapa,"700,000",,0.030,B,BN,CHD,
2010,1,XV,4,ARICA,234,Jurel,"1,800,000",,0.020,B,BN,CHD,
2010,1,XV,4,ARICA,236,Lenguado,"3,500,000",,0.020,B,BN,CHD,
2010,1,XV,4,ARICA,229,Congrio negro,"1,500,000",,0.020,B,BN,CHD,
2010,2,I,8,RIQUELME,254,Palometa,"1,200,000",,1.600,L,BN,CHD,
2010,2,I,8,RIQUELME,226,Cojinoba del norte,"1,000,000",,0.300,L,BN,CHD,
2010,2,I,8,RIQUELME,254,Palometa,"1,200,000",,0.700,L,BN,CHD,
2010,2,I,8,RIQUELME,229,Congrio negro,"2,000,000",,0.360,B,BN,CHD,
2010,2,I,8,RIQUELME,226,Cojinoba del norte,"1,000,000",,0.180,L,BN,CHD,
2010,2,I,8,RIQUELME,211,Azulejo,"800,000",,0.400,L,BN,CHD,
2010,2,I,8,RIQUELME,284,Tiburón o marrajo,"2,000,000",,0.140,L,BN,CHD,
2010,2,I,10,CAVANCHA,284,Tiburón o marrajo,"1,300,000",,1.500,L,BN,CHD,
2010,2,I,10,CAVANCHA,226,Cojinoba del norte,"1,200,000",,0.110,L,BN,CHD,
2010,2,I,10,CAVANCHA,291,Juliana,"1,000,000",,0.100,B,BN,CHD,
2010,2,I,10,CAVANCHA,254,Palometa,"700,000",,2.000,L,BN,CHD,
2010,2,I,10,CAVANCHA,291,Vilagay,"1,000,000",,0.260,B,BN,CHD,
2010,2,II,38,HUACHAN,141,Chascón o huiro negro,"100,000",40 - 50,3.600,O,BN,PP,
2010,2,II,38,HUACHAN,142,Huiro palo,"170,000",41 - 50,1.300,O,BN,PP,
2010,2,II,38,HUACHAN,450,Lapa,"700,000",,0.068,O,BN,PP,
2010,2,II,38,HUACHAN,810,Erizo,"175,000",,0.250,O,BN,CHD,
2010,2,II,38,HUACHAN,406,Almeja,"300,000",,0.400,O,BN,CHD,
2010,2,II,42,CALETA BUENA,425,Cholga,"200,000",,0.600,B,BN,CHD,
2010,2,II,42,CALETA BUENA,653,Jaiba peluda,"400,000",,0.080,B,BN,CHD,
2010,2,II,60,MEJILLONES,406,Almeja,"400,000",,0.010,B,BN,CHD,
2010,2,II,60,MEJILLONES,450,Lapa,"1,500,000",,0.010,B,BN,CHD,
2010,2,II,60,MEJILLONES,425,Cholga,"500,000",,0.010,B,BN,CHD,
2010,2,II,60,MEJILLONES,425,Cholga,"400,000",,0.010,B,BN,CHD,
2010,2,II,60,MEJILLONES,450,Lapa,"500,000",,0.010,B,BN,CHD,
2010,2,II,56,TALTAL,227,Congrio colorado,"2,800,000",,0.040,B,,CHD,
2010,2,II,56,TALTAL,145,Huiro,"80,000",40 - 50,5.000,O,,PP,
2010,2,II,56,TALTAL,226,Cojinoba del norte,"1,500,000",,0.023,B,,CHD,
2010,2,II,56,TALTAL,485,Pulpo,"1,450,000",,1.800,O,,PP,
2010,2,II,56,TALTAL,231,Dorado,"2,700,000",,0.036,B,,CHD,
2010,2,II,56,TALTAL,207,Apañado,"1,800,000",,0.010,B,,CHD,
2010,2,II,56,TALTAL,226,Cojinoba del norte,"2,000,000",,0.025,B,,CHD,
2010,2,II,56,TALTAL,227,Congrio colorado,"2,400,000",,0.030,B,,CHD,
2010,2,II,56,TALTAL,280,Sargo,"1,000,000",,0.012,B,,CHD,
2010,2,III,78,HUASCO,227,Congrio colorado,"2,000,000",,0.080,B,BN,CHD,
2010,2,III,78,HUASCO,230,Corvina,"2,000,000",,0.057,B,BN,CHD,
2010,2,III,78,HUASCO,226,Cojinoba del norte,"1,300,000",,0.025,B,BN,CHD,
2010,2,III,78,HUASCO,231,Dorado,"1,600,000",,0.042,B,BN,CHD,
2010,2,III,78,HUASCO,227,Congrio colorado,"2,000,000",,0.230,B,BN,CHD,
2010,2,III,78,HUASCO,231,Dorado,"1,600,000",,0.349,B,BN,CHD,
2010,2,IV,122,COQUIMBO,234,Jurel,"500,000",,0.070,B,BN,CHD,
2010,2,IV,122,COQUIMBO,242,Merluza común,"700,000",,0.320,B,BN,CHD,
2010,2,IV,122,COQUIMBO,236,Lenguado,"4,000,000",,0.028,B,BN,CHD,
2010,2,IV,122,COQUIMBO,227,Congrio colorado,"3,000,000",,0.025,B,BN,CHD,
2010,2,IV,122,COQUIMBO,234,Jurel,"500,000",,0.310,B,BN,CHD,
2010,2,IV,122,COQUIMBO,242,Merluza común,"500,000",,0.050,B,BN,CHD,
2010,2,IV,122,COQUIMBO,218,Caballa,"500,000",,0.190,B,BN,CHD,
2010,2,IV,122,COQUIMBO,227,Congrio colorado,"3,000,000",,0.092,B,BN,CHD,
2010,2,IV,122,COQUIMBO,229,Congrio negro,"1,500,000",,0.050,B,BN,CHD,
2010,2,IV,122,COQUIMBO,219,Cabinza,"500,000",,0.100,B,BN,CHD,
