PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2011,,,,,,,,,,,,
,,,,,,,,,,,,
AÑO,MES,REGIÓN,Código Caleta,Nom_caleta,Código especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2011,Febrero,II,50,ANTOFAGASTA,234,Jurel,"650,000",,0.02,B,BN,CHD
2011,Febrero,II,50,ANTOFAGASTA,231,Dorado de altura,"2,000,000",,0.06,B,BN,CHD
2011,Febrero,II,50,ANTOFAGASTA,228,Congrio dorado,"1,200,000",,0.02,B,BN,CHD
2011,Febrero,II,50,ANTOFAGASTA,221,Cabrilla común,"1,750,000",,0.01,B,BN,CHD
2011,Febrero,II,50,ANTOFAGASTA,234,Jurel,"600,000",,0.01,B,BN,CHD
2011,Febrero,II,46,TOCOPILLA,284,Tiburón o marrajo,"1,400,000",,0.08,L,BN,CHD
2011,Febrero,II,46,TOCOPILLA,226,Cojinoba del norte,"1,500,000",,0.06,L,BN,CHD
2011,Febrero,II,46,TOCOPILLA,220,Cabrilla,"1,200,000",,0.03,L,BN,CHD
2011,Febrero,II,46,TOCOPILLA,234,Jurel,"600,000",,0.04,L,BN,CHD
2011,Febrero,II,46,TOCOPILLA,230,Corvina,"1,800,000",,0.05,L,BN,CHD
2011,Febrero,II,46,TOCOPILLA,211,Azulejo,"500,000",,0.02,L,BN,CHD
2011,Febrero,II,46,TOCOPILLA,211,Azulejo,"500,000",,0.05,L,BN,CHD
2011,Febrero,II,46,TOCOPILLA,226,Cojinoba del norte,"1,500,000",,0.03,L,BN,CHD
